date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:56	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a1b-17b8b%22	https://preview.uideck.com/items/plain/assets/js/vendor/jquery-1.12.4.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/vendor/jquery-1.12.4.min.js	(from https://preview.uideck.com/items/plain/)
16:03:56	8599/8599	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a1b-2197%22	https://preview.uideck.com/items/plain/assets/js/vendor/modernizr-3.7.1.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/vendor/modernizr-3.7.1.min.js	(from https://preview.uideck.com/items/plain/)
16:03:56	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a09-520c%22	https://preview.uideck.com/items/plain/assets/js/popper.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/popper.min.js	(from https://preview.uideck.com/items/plain/)
16:03:57	60010/60010	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a09-ea6a%22	https://preview.uideck.com/items/plain/assets/js/bootstrap.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/bootstrap.min.js	(from https://preview.uideck.com/items/plain/)
16:03:58	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a0a-a76f%22	https://preview.uideck.com/items/plain/assets/js/slick.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/slick.min.js	(from https://preview.uideck.com/items/plain/)
16:03:58	5564/5564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a07-15bc%22	https://preview.uideck.com/items/plain/assets/js/jquery.easing.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/jquery.easing.min.js	(from https://preview.uideck.com/items/plain/)
16:03:58	397/397	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a0c-28f%22	https://preview.uideck.com/items/plain/assets/js/scrolling-nav.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/scrolling-nav.js	(from https://preview.uideck.com/items/plain/)
16:03:58	665/665	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a06-4e1%22	https://preview.uideck.com/items/plain/assets/js/ajax-contact.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/ajax-contact.js	(from https://preview.uideck.com/items/plain/)
16:03:58	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a06-20df%22	https://preview.uideck.com/items/plain/assets/js/wow.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/wow.min.js	(from https://preview.uideck.com/items/plain/)
16:03:58	2140/2140	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e946a08-1162%22	https://preview.uideck.com/items/plain/assets/js/main.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/js/main.js	(from https://preview.uideck.com/items/plain/)
16:03:59	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fdba5ea-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/Users/masmin/Desktop/htttrack/codinia%20website/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://preview.uideck.com/items/plain/)
16:04:01	124704/124704	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2014%20Jul%202020%2006:37:16%20GMT	https://cdn.lineicons.com/2.0/fonts/LineIcons.eot	C:/Users/masmin/Desktop/htttrack/codinia%20website/cdn.lineicons.com/2.0/fonts/LineIcons.eot	(from https://cdn.lineicons.com/2.0/LineIcons.css)
16:04:02	51676/51676	---M--	200	added ('OK')	font/woff2	date:Tue,%2014%20Jul%202020%2006:37:18%20GMT	https://cdn.lineicons.com/2.0/fonts/LineIcons.woff2	C:/Users/masmin/Desktop/htttrack/codinia%20website/cdn.lineicons.com/2.0/fonts/LineIcons.woff2	(from https://cdn.lineicons.com/2.0/LineIcons.css)
16:04:02	64732/64732	---M--	200	added ('OK')	font/woff	date:Tue,%2014%20Jul%202020%2006:37:17%20GMT	https://cdn.lineicons.com/2.0/fonts/LineIcons.woff	C:/Users/masmin/Desktop/htttrack/codinia%20website/cdn.lineicons.com/2.0/fonts/LineIcons.woff	(from https://cdn.lineicons.com/2.0/LineIcons.css)
16:04:03	4311/4311	---M--	200	added ('OK')	image/png	etag:%225e9469f8-10d7%22	https://preview.uideck.com/items/plain/assets/images/footer-shape-left.png	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/images/footer-shape-left.png	(from https://preview.uideck.com/items/plain/assets/css/style.css)
16:04:03	124532/124532	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2014%20Jul%202020%2006:37:17%20GMT	https://cdn.lineicons.com/2.0/fonts/LineIcons.ttf	C:/Users/masmin/Desktop/htttrack/codinia%20website/cdn.lineicons.com/2.0/fonts/LineIcons.ttf	(from https://cdn.lineicons.com/2.0/LineIcons.css)
16:04:03	4019/4019	---M--	200	added ('OK')	image/png	etag:%225e946a03-fb3%22	https://preview.uideck.com/items/plain/assets/images/footer-shape-right.png	C:/Users/masmin/Desktop/htttrack/codinia%20website/preview.uideck.com/items/plain/assets/images/footer-shape-right.png	(from https://preview.uideck.com/items/plain/assets/css/style.css)
16:04:04	610039/610039	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2014%20Jul%202020%2006:37:17%20GMT	https://cdn.lineicons.com/2.0/fonts/LineIcons.svg	C:/Users/masmin/Desktop/htttrack/codinia%20website/cdn.lineicons.com/2.0/fonts/LineIcons.svg	(from https://cdn.lineicons.com/2.0/LineIcons.css)
16:04:04	25/25	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Jul%202020%2007:18:11%20GMT	https://cdn.lineicons.com/robots.txt		(from https://cdn.lineicons.com/2.0/LineIcons.css)
